City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
13,Rikitea,PF,75.25,few clouds,-23.1203,-134.9692,People ThankYou
16,Bahia Honda,CU,77.99,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
22,Bandarbeyla,SO,81.41,overcast clouds,9.4942,50.8122,JABIR HOTEL
26,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
32,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Atuona,PF,76.48,clear sky,-9.8,-139.0333,Villa Enata
38,Dholka,IN,80.98,overcast clouds,22.7167,72.4667,jalalpur godhaneshwer
42,Qui Nhon,VN,85.95,broken clouds,13.7667,109.2333,Seagull Hotel
44,Katsuura,JP,82.85,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
48,Sanghar,PK,87.4,overcast clouds,26.0466,68.9481,Goklani House گوکلانی ہائوس
57,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
59,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
75,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
76,Jacqueville,CI,75.87,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
84,Dingle,PH,86.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
86,Palmer,US,79.97,broken clouds,42.1584,-72.3287,Wedgewood Motel
88,Carsamba,TR,78.3,clear sky,41.1989,36.7219,Carsamba Ogretmenevi
90,Shenjiamen,CN,83.17,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
96,Karera,IN,88.07,broken clouds,25.4667,78.15,श्री हिमांशु जोशी (निवास)
98,Neryungri,RU,83.39,broken clouds,56.6709,124.6491,Pyat' Zvozd
100,Jiayuguan,CN,88.65,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
101,Tateyama,JP,81.66,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
105,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Luklukan,PH,88.16,overcast clouds,14.3254,122.7124,Nipa Nipa Beach
108,Vanimo,PG,84.25,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
109,Ponta Do Sol,PT,82.13,few clouds,32.6667,-17.1,Hotel do Campo
113,Muli,MV,82.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
119,Khatanga,RU,77.95,overcast clouds,71.9667,102.5,"""Khatanga"""
124,Dhandhuka,IN,84.67,broken clouds,22.3667,71.9833,Amin Auto
125,Robertsport,LR,75.0,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
133,Poso,ID,87.46,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
134,Kerrville,US,84.52,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
135,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
136,Fare,PF,77.29,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
142,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
145,Solnechnyy,RU,83.97,clear sky,50.7214,136.6319,Hotel complex Pastoral
147,Afua,BR,75.15,broken clouds,-0.1567,-50.3867,Hotel Dias
148,Adeje,ES,80.17,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
154,Adrano,IT,79.23,clear sky,37.6618,14.8348,B&B Patty's House
160,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
165,Jalu,LY,79.16,clear sky,29.0331,21.5482,صاحبة الفخامة
167,Port Blair,IN,84.67,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
175,Pampa,US,86.2,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
177,Bambanglipuro,ID,81.1,overcast clouds,-7.95,110.2833,Puri Brata
186,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
191,Dhidhdhoo,MV,81.43,few clouds,6.8833,73.1,Dhidhoo beach
194,Bastia,FR,81.3,clear sky,42.6667,9.3333,Hotel Santa Maria
195,Popondetta,PG,87.8,scattered clouds,-8.7537,148.2534,Timos Transit House
197,Sete,FR,75.06,clear sky,43.4018,3.6966,Hotel de Paris Sète
203,Hambantota,LK,86.34,broken clouds,6.1241,81.1185,Bungalow 63
205,Nagato,JP,81.12,broken clouds,34.3833,131.2,いそう庵
206,Rincon,US,81.86,broken clouds,32.296,-81.2354,Days Inn Rincon
207,Karratha,AU,76.66,clear sky,-20.7377,116.8463,ibis Styles Karratha
212,Isangel,VU,79.23,few clouds,-19.55,169.2667,Tanna Lodge
216,Nobeoka,JP,83.97,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
218,Bocas Del Toro,PA,78.66,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
228,Bac Lieu,VN,86.29,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
232,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
233,Hamilton,US,79.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
234,Naze,JP,85.12,scattered clouds,28.3667,129.4833,Shishime Hotel
