City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,2022-07-25 04:47:11,-0.6,73.0833,82.06,72,61,8.03,broken clouds
1,Mataura,NZ,2022-07-25 04:47:12,-46.1927,168.8643,45.48,91,87,3.91,overcast clouds
2,Qaanaaq,GL,2022-07-25 04:47:12,77.484,-69.3632,37.47,99,100,4.32,overcast clouds
3,Puerto Varas,CL,2022-07-25 04:47:13,-41.3195,-72.9854,43.02,100,100,5.75,mist
4,Lugovoy,KZ,2022-07-25 04:47:13,42.9472,72.7644,90.32,21,0,6.6,clear sky
5,Sobolevo,RU,2022-07-25 04:47:14,54.4299,31.8996,60.21,92,29,8.19,scattered clouds
6,Kodiak,US,2022-07-25 04:47:14,57.79,-152.4072,56.71,88,100,9.22,overcast clouds
7,Hermanus,ZA,2022-07-25 04:44:26,-34.4187,19.2345,48.9,77,0,11.41,clear sky
8,Punta Arenas,CL,2022-07-25 04:46:16,-53.15,-70.9167,35.71,69,0,16.11,clear sky
9,Hobart,AU,2022-07-25 04:47:15,-42.8794,147.3294,58.86,77,75,12.66,broken clouds
10,Polovinnoye,RU,2022-07-25 04:47:16,54.7914,65.9864,75.58,56,8,4.63,clear sky
11,Hofn,IS,2022-07-25 04:47:16,64.2539,-15.2082,49.71,91,99,6.22,overcast clouds
12,Cherskiy,RU,2022-07-25 04:47:16,68.75,161.3,65.44,35,27,8.28,scattered clouds
13,Rikitea,PF,2022-07-25 04:44:13,-23.1203,-134.9692,75.25,81,15,18.57,few clouds
14,Puerto Ayora,EC,2022-07-25 04:45:33,-0.7393,-90.3518,69.55,92,97,7.0,overcast clouds
15,Coquimbo,CL,2022-07-25 04:43:21,-29.9533,-71.3436,53.33,82,100,5.75,overcast clouds
16,Bahia Honda,CU,2022-07-25 04:47:17,22.9036,-83.1592,77.99,88,44,10.25,light rain
17,Bluff,NZ,2022-07-25 04:45:36,-46.6,168.3333,45.81,89,71,22.03,broken clouds
18,Bharatpur,IN,2022-07-25 04:47:18,27.2167,77.4833,92.64,52,16,12.64,few clouds
19,San Cristobal,VE,2022-07-25 04:47:19,7.7669,-72.225,69.98,94,61,2.39,broken clouds
20,Egvekinot,RU,2022-07-25 04:47:19,66.3167,-179.1667,43.05,61,96,3.47,overcast clouds
21,Ballina,AU,2022-07-25 04:47:20,-28.8667,153.5667,67.01,71,18,4.38,few clouds
22,Bandarbeyla,SO,2022-07-25 04:47:20,9.4942,50.8122,81.41,56,96,30.91,overcast clouds
23,Broken Hill,AU,2022-07-25 04:47:21,-31.95,141.4333,66.11,40,20,15.97,few clouds
24,Orotukan,RU,2022-07-25 04:47:21,62.2667,151.7,68.79,38,40,4.27,scattered clouds
25,Severo-Kurilsk,RU,2022-07-25 04:46:53,50.6789,156.125,51.57,96,100,17.94,light rain
26,Cayenne,GF,2022-07-25 04:45:41,4.9333,-52.3333,82.09,1,0,0.0,clear sky
27,Hualmay,PE,2022-07-25 04:47:22,-11.0964,-77.6139,61.14,87,55,10.87,broken clouds
28,Lebu,CL,2022-07-25 04:45:42,-37.6167,-73.65,53.55,90,100,14.65,moderate rain
29,Bambous Virieux,MU,2022-07-25 04:47:22,-20.3428,57.7575,71.22,94,40,4.61,scattered clouds
30,Dikson,RU,2022-07-25 04:47:23,73.5069,80.5464,48.4,89,100,8.9,overcast clouds
31,Chuy,UY,2022-07-25 04:47:23,-33.6971,-53.4616,57.74,97,100,5.23,overcast clouds
32,Kapaa,US,2022-07-25 04:44:15,22.0752,-159.319,84.18,71,20,14.97,few clouds
33,Iqaluit,CA,2022-07-25 04:47:24,63.7506,-68.5145,44.33,93,75,6.91,broken clouds
34,Bredasdorp,ZA,2022-07-25 04:44:29,-34.5322,20.0403,44.74,87,0,4.7,clear sky
35,Atuona,PF,2022-07-25 04:44:21,-9.8,-139.0333,76.48,67,2,14.7,clear sky
36,Esperance,AU,2022-07-25 04:47:25,-33.8667,121.9,61.05,48,1,15.37,clear sky
37,Fortuna,US,2022-07-25 04:45:43,40.5982,-124.1573,55.92,87,35,2.51,scattered clouds
38,Dholka,IN,2022-07-25 04:47:26,22.7167,72.4667,80.98,69,88,12.91,overcast clouds
39,Carnarvon,AU,2022-07-25 04:47:27,-24.8667,113.6333,67.69,32,0,10.67,clear sky
40,Tuatapere,NZ,2022-07-25 04:47:27,-46.1333,167.6833,44.35,83,86,2.73,overcast clouds
41,Kaitangata,NZ,2022-07-25 04:45:37,-46.2817,169.8464,46.17,91,97,13.29,overcast clouds
42,Qui Nhon,VN,2022-07-25 04:47:28,13.7667,109.2333,85.95,66,64,8.39,broken clouds
43,Thompson,CA,2022-07-25 04:44:28,55.7435,-97.8558,51.96,76,40,3.44,scattered clouds
44,Katsuura,JP,2022-07-25 04:47:29,35.1333,140.3,82.85,83,100,13.11,light rain
45,Gornozavodsk,RU,2022-07-25 04:48:29,58.3758,58.3211,72.81,79,63,5.28,light rain
46,Lompoc,US,2022-07-25 04:46:37,34.6391,-120.4579,59.14,85,100,8.99,overcast clouds
47,Cape Town,ZA,2022-07-25 04:40:28,-33.9258,18.4232,56.37,83,0,2.3,clear sky
48,Sanghar,PK,2022-07-25 04:48:30,26.0466,68.9481,87.4,68,85,12.26,overcast clouds
49,Araouane,ML,2022-07-25 04:48:31,18.9048,-3.5265,87.67,35,48,7.63,scattered clouds
50,Barrow,US,2022-07-25 04:44:19,71.2906,-156.7887,42.82,87,100,14.97,overcast clouds
51,Iroquois Falls,CA,2022-07-25 04:48:32,48.7669,-80.6831,57.79,98,70,7.54,moderate rain
52,Huarmey,PE,2022-07-25 04:48:32,-10.0681,-78.1522,62.37,88,93,9.95,overcast clouds
53,Touros,BR,2022-07-25 04:48:26,-5.1989,-35.4608,72.19,77,55,16.55,broken clouds
54,Mahebourg,MU,2022-07-25 04:44:26,-20.4081,57.7,71.26,94,40,4.61,scattered clouds
