City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,74.52,86,0,5.75,US,2022-07-20 06:01:32
1,Taltal,-25.4,-70.4833,57.31,78,36,2.33,CL,2022-07-20 06:05:11
2,Ballina,-28.8667,153.5667,59.02,73,99,14.81,AU,2022-07-20 06:05:12
3,Carbondale,37.7273,-89.2168,79.02,92,0,4.61,US,2022-07-20 06:05:12
4,Ushuaia,-54.8,-68.3,33.08,98,99,3.56,AR,2022-07-20 06:03:02
5,Progreso,21.2833,-89.6667,82.51,84,35,8.16,MX,2022-07-20 06:05:13
6,Yellowknife,62.456,-114.3525,59.11,87,98,14.23,CA,2022-07-20 06:01:26
7,Bluff,-46.6,168.3333,43.81,72,98,10.71,NZ,2022-07-20 06:05:13
8,Port Alfred,-33.5906,26.891,54.18,97,100,4.0,ZA,2022-07-20 06:05:14
9,Mataura,-46.1927,168.8643,43.48,84,97,2.39,NZ,2022-07-20 06:05:14
10,Corinto,37.9407,22.9573,79.41,49,0,1.99,GR,2022-07-20 06:05:15
11,Tolaga Bay,-38.3667,178.3,56.23,98,95,2.26,NZ,2022-07-20 06:05:16
12,Kodiak,57.79,-152.4072,53.11,82,100,4.61,US,2022-07-20 06:05:16
13,Adrar,20.5022,-10.0711,85.6,17,15,5.39,MR,2022-07-20 06:05:17
14,Bambous Virieux,-20.3428,57.7575,72.21,65,96,24.34,MU,2022-07-20 06:05:17
15,Mehran,33.1222,46.1646,111.06,7,0,8.59,IR,2022-07-20 06:05:18
16,Peniche,39.3558,-9.3811,67.28,88,8,20.0,PT,2022-07-20 06:03:21
17,Khatanga,71.9667,102.5,54.21,40,92,21.12,RU,2022-07-20 06:05:19
18,Hithadhoo,-0.6,73.0833,81.32,72,70,3.98,MV,2022-07-20 06:05:19
19,Hermanus,-34.4187,19.2345,51.55,71,40,6.98,ZA,2022-07-20 06:05:20
20,Jardim,-21.4803,-56.1381,69.42,58,93,3.44,BR,2022-07-20 06:05:20
21,Arraial Do Cabo,-22.9661,-42.0278,68.25,90,0,3.96,BR,2022-07-20 06:05:21
22,Punta Arenas,-53.15,-70.9167,35.71,60,75,47.18,CL,2022-07-20 06:05:21
23,Chokurdakh,70.6333,147.9167,51.53,58,95,12.15,RU,2022-07-20 06:05:22
24,Busselton,-33.65,115.3333,65.3,69,79,16.73,AU,2022-07-20 06:05:23
25,Itarema,-2.9248,-39.9167,76.05,89,17,13.35,BR,2022-07-20 06:05:23
26,Kapaa,22.0752,-159.319,80.58,84,100,17.27,US,2022-07-20 06:05:24
27,Bredasdorp,-34.5322,20.0403,44.51,86,9,3.96,ZA,2022-07-20 06:05:25
28,Tuktoyaktuk,69.4541,-133.0374,50.27,83,99,6.22,CA,2022-07-20 06:05:26
29,Khani,41.9563,42.9566,58.57,96,100,1.45,GE,2022-07-20 06:05:26
30,Avarua,-21.2078,-159.775,73.45,73,75,9.22,CK,2022-07-20 06:05:27
31,Albany,42.6001,-73.9662,73.53,89,51,5.06,US,2022-07-20 06:02:40
32,Madang,-5.2246,145.7966,83.53,71,83,7.4,PG,2022-07-20 06:05:27
33,Lundazi,-12.2929,33.1782,65.71,57,0,13.98,ZM,2022-07-20 06:01:25
